country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,2021-01-20,519.0,519.0,,36.0,47.0,0.02,0.02,,16.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-21,549.0,549.0,,30.0,40.0,0.02,0.02,,14.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-22,,,,,34.0,,,,12.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-23,,,,,26.0,,,,9.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-24,,,,,21.0,,,,7.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-25,,,,,15.0,,,,5.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-26,,,,,9.0,,,,3.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-27,,,,,4.0,,,,1.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-28,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-29,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-30,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-01-31,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-01,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-02,550.0,549.0,1.0,,,0.02,0.02,0.0,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-03,,,,,12.0,,,,4.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-04,,,,,24.0,,,,8.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-05,,,,,35.0,,,,12.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-06,,,,,47.0,,,,16.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-07,,,,,59.0,,,,21.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-08,,,,,71.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-09,1127.0,689.0,438.0,,82.0,0.04,0.02,0.02,28.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-10,,,,,81.0,,,,28.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-11,,,,,79.0,,,,27.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-12,,,,,78.0,,,,27.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-13,,,,,76.0,,,,26.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-14,,,,,75.0,,,,26.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-15,,,,,73.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-16,,,,,72.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania,ALB,2021-02-17,1701.0,1090.0,611.0,,72.0,0.06,0.04,0.02,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Algeria,DZA,2021-01-29,0.0,,,,,0.0,,,,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne
Algeria,DZA,2021-01-30,30.0,,,30.0,30.0,0.0,,,1.0,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne
Andorra,AND,2021-01-25,576.0,576.0,,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-26,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-27,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-28,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-29,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-30,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-01-31,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-01,1036.0,1036.0,,,66.0,1.34,1.34,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-02,,,,,60.0,,,,777.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-03,,,,,55.0,,,,712.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-04,,,,,50.0,,,,647.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-05,,,,,44.0,,,,569.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-06,,,,,39.0,,,,505.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-07,,,,,34.0,,,,440.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-08,,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-09,,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-10,1291.0,1291.0,,,28.0,1.67,1.67,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-11,,,,,48.0,,,,621.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Andorra,AND,2021-02-12,1622.0,,,,68.0,2.1,,,880.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12423-els-casos-actius-de-la-covid-19-baixen-dels-500-per-primera-vegada-des-del-desembre-de-l-any-passat
Anguilla,AIA,2021-02-04,0.0,0.0,,,,0.0,0.0,,,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-05,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-06,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-07,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-08,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-09,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-10,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-11,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-12,,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Anguilla,AIA,2021-02-13,1341.0,1341.0,,,149.0,8.94,8.94,,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845
Argentina,ARG,2020-12-29,700.0,,,,,0.0,,,,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2020-12-30,,,,,15656.0,,,,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2020-12-31,32013.0,,,,15656.0,0.07,,,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-01,,,,,11070.0,,,,245.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-02,,,,,8776.0,,,,194.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-03,,,,,7400.0,,,,164.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-04,39599.0,,,,6483.0,0.09,,,143.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-05,,,,,7984.0,,,,177.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-06,,,,,8173.0,,,,181.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-07,,,,,8363.0,,,,185.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-08,107542.0,,,,10519.0,0.24,,,233.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-09,,,,,11942.0,,,,264.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-10,,,,,13365.0,,,,296.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-11,,,,,14788.0,,,,327.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-12,,,,,14056.0,,,,311.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-13,166833.0,,,,13323.0,0.37,,,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-14,,,,,13320.0,,,,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-15,200759.0,,,,13317.0,0.44,,,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-16,,,,,12971.0,,,,287.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-17,,,,,12624.0,,,,279.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-18,,,,,12278.0,,,,272.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-19,,,,,11932.0,,,,264.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-20,247933.0,243539.0,4394.0,,11586.0,0.55,0.54,0.01,256.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,17791.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,3959.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,363.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,13494.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,12153.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,9966.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,16035.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,22350.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-31,,,,,11299.0,,,,250.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-01,375851.0,281577.0,94274.0,,11924.0,0.83,0.62,0.21,264.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-02,,,,,11475.0,,,,254.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-03,396562.0,284196.0,112366.0,,11218.0,0.88,0.63,0.25,248.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,47456.0,16574.0,0.98,0.66,0.32,367.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-05,,,,,16238.0,,,,359.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-06,471383.0,307501.0,163882.0,,15000.0,1.04,0.68,0.36,332.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,29769.0,18576.0,1.11,0.71,0.4,411.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,10430.0,19390.0,1.13,0.71,0.42,429.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,1596.0,18139.0,1.14,0.71,0.42,401.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,22125.0,19820.0,1.18,0.75,0.44,439.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,37625.0,18416.0,1.27,0.8,0.47,407.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,18704.0,19133.0,1.31,0.81,0.49,423.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-02-13,606245.0,371629.0,234616.0,14613.0,19266.0,1.34,0.82,0.52,426.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
